AMD A8-7410,3068
Intel Xeon E5645,10250
AMD Athlon X2 5400B,2030
AMD Phenom II X4 820,5224
Intel Xeon E5640,8749
Intel Core i7-6567U,7943
Intel Atom x7-Z8700,2972
AMD Athlon II X2 B24,3045
AMD E-350,1125
AMD Athlon II X2 B22,2805
Intel Core i3-3217U,3248
Intel Pentium E5400,2305
Intel Core i5-450M,3348
Intel Core 2 Duo T7800,2120
AMD A9-9410,2859
AMD A4-4000,2548
Intel Core i5-3570S,9923
Intel Pentium T3200,1594
Intel Core i5-3570T,8972
Intel Pentium E2140,1356
AMD Turion X2 Ultra ZM-84,1756
Intel Core i5-3570K,11397
Intel Celeron SU2300,1207
AMD Phenom II X4 830,5189
Intel Core 2 Duo U7600,776
Intel Xeon E5630,7880
Intel Core i7-6650U,7221
Intel Pentium G630T,3063
Intel Celeron T3500,1878
AMD A12-9700P,4364
Intel Core i5-6600K,14405
Intel Core 2 Extreme Q9300,5186
AMD Athlon II Neo K325,1285
Intel Core 2 Duo T5870,1868
Intel Pentium 4 531/630,959
Intel Core i5-6600T,11587
Intel Core i5-2320,8359
Intel Core 2 Duo E4500,1945
AMD Phenom II X4 840,4983
AMD Athlon X2 370K,3326
AMD Phenom X4 9600,3076
AMD A6-3600,4081
AMD Phenom II X2 N620,2440
Intel Xeon E5620,8060
Intel Pentium P6000,2152
Intel Core i7-4720HQ,10810
Intel Xeon E5606,4692
AMD A8-6600K,5488
Intel Core i7-740QM,4794
Intel Pentium 3825U,3454
AMD Phenom II X3 P840,2425
AMD Phenom II X2 560 Black Edition,3173
AMD A4-7300,2854
Intel Core 2 Duo T9800,2833
Intel Core 2 Duo E7600,2917
AMD A4-4020,2317
Intel Pentium E2160,1592
Intel Pentium T2330,1243
Intel Core 2 Duo E6750,2423
AMD Phenom X4 9850,4200
Intel Core 2 Duo U9600,1625
Intel Core i7-6500U,6510
AMD Athlon X4 750K,5132
Intel Pentium N4200,4018
Intel Core 2 Duo T5450,1491
AMD Embedded RX-421BD,6083
Intel Core i5-6400T,8917
Intel Pentium E6500,2532
Intel Core i7-875K,8650
Intel Core i5-560M,3763
Intel Pentium G645,3859
AMD A10-5750M,4126
Intel Pentium T4500,1931
Intel Xeon E3-1271 v3,13626
Intel Core 2 Quad Q9650,5495
Intel Core i7-6850K,21763
AMD Ryzen 7 1700,20057
Intel Pentium G640,3829
AMD Phenom II X2 N640,2855
AMD Athlon X4 860K,5949
AMD FX-4200,5595
AMD E2-6110,2289
Intel Core i7-4940MX,13131
Intel Core i5-430M,3218
Intel Core i5-4200U,4635
Intel Core i5-4200H,6305
Intel Pentium G630,3613
AMD Phenom II X3 P820,2522
AMD Phenom II X2 B55,2823
Intel Pentium T3400,1725
Intel Core i5-4200M,5714
Intel Pentium T2310,1338
Intel Core 2 Duo T7600,2202
Intel Core i5-3550S,9457
Intel Pentium E2180,1647
Intel Xeon E3-1225 V2,10187
Intel Pentium G870,4273
Intel Pentium E6300,2547
AMD A8-5557M,3943
Intel Core i5-4200Y,3157
Intel Core 2 Quad Q9400,4651
AMD E-300,950
AMD FX-7500,3596
Intel Core i3-2367M,2512
Intel Core i3-2365M,2487
Intel Core i5-6402P,10956
Intel Core i5-3450,9518
AMD A8-4555M,2675
Intel Core i5-4310U,5126
Intel Core 2 Duo T5670,1719
Intel Celeron T3300,1796
Intel Pentium G620,3441
Intel Core i5-4310M,6084
Intel Core i7-7500U,7608
AMD A6-3410MX,3306
AMD A4-6210,2508
Intel Core 2 Duo E4300,1645
Intel Core i7-5650U,6405
Intel Pentium G860,4040
Intel Pentium E5200,2164
Intel Core i5-7600K,15341
Intel Xeon E3-1270 V2,12467
Intel Core i3-2100T,4522
AMD Athlon II Neo K125,828
AMD Phenom II X2 N660,2953
Intel Core m3-7Y30,4598
Intel Pentium J3710,3009
Intel Core 2 Quad Q8300,4252
Intel Core i5-4570,10849
AMD Turion 64 X2 TL-58,1575
AMD Turion 64 X2 TL-56,1574
Intel Core i5-7360U,8494
AMD Athlon II X2 240e,2744
Intel Core i3-4170T,6381
Intel Core i7-5500U,5625
Intel Core 2 Duo P9700,2940
Intel Core i5-2467M,3356
Intel Core i5-7600,13883
Intel Pentium 2117U,2629
Intel Core 2 Duo L7500,1560
Intel Core 2 Duo T5800,1789
Intel Core i7-5960X,26607
Intel Core 2 Duo E7400,2669
Intel Core i7-8700,23281
Intel Pentium 4405U,4546
Intel Core 2 Duo E6550,2290
Intel Core i7-4785T,10548
AMD Phenom II X6 1045T,7326
Intel Core i5-3470,9668
AMD Turion 64 X2 TL-66,1937
Intel Core i5-540M,3629
AMD Phenom II X3 N850,3126
Intel Core i5-6500,11663
Intel Core i7-3540M,6185
AMD Athlon X2 QL-60,1368
Intel Core i7-860,7577
AMD Athlon X2 QL-62,1554
Intel Core 2 Duo E6300,1736
AMD Athlon X2 QL-65,1372
AMD Athlon X2 QL-64,1554
Intel Core 2 Quad Q9450,4895
AMD Turion 64 X2 TL-60,1557
Intel Core i3-2328M,3592
Intel Core i5-3337U,4442
AMD Turion 64 X2 TL-64,1967
AMD Turion 64 X2 TL-62,1669
Intel Core i5-4590,10973
Intel Core i7-4650U,5630
Intel Core i5-2550K,11192
Intel Core i7-870,7982
Intel Xeon E5472,5590
AMD FX-9830P,5834
AMD Athlon II P320,1935
Intel Celeron T3100,1705
Intel Xeon E5-2643 v4,19493
Intel Core i7-980X,13252
AMD FX-6200,7136
AMD Phenom II X3 N830,2810
Intel Core 2 Duo P7550,2265
Intel Core 2 Duo P8400,2246
Intel Core i7-640UM,2457
Intel Xeon E3-1246 v3,13259
Intel Core i7-880,7537
Intel Xeon E5462,5158
AMD Phenom II X4 910e,4963
Intel Celeron J3160,2875
Intel Core i5-3335S,8547
